HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459513.57172,2021-10-26.0746063,bq,1.54,16.667,14.592,0.032,5.285,0.157,g
2459513.57294,2021-10-26.0758354,bq,1.49,16.594,14.565,0.034,5.420,0.168,g
2459513.57418,2021-10-26.0770783,bq,1.51,16.681,14.547,0.031,5.508,0.155,g
2459516.56163,2021-10-29.0647425,bq,1.59,16.704,14.618,0.032,5.160,0.152,g
2459516.56287,2021-10-29.0659811,bq,1.50,16.663,14.541,0.031,5.542,0.158,g
2459516.56411,2021-10-29.0672274,bq,1.51,16.620,14.622,0.035,5.144,0.164,g
2459520.54833,2021-11-02.0517225,bq,1.61,16.494,14.618,0.039,5.161,0.184,g
2459520.54957,2021-11-02.0529645,bq,1.49,16.568,14.444,0.031,6.061,0.172,g
2459520.55080,2021-11-02.0541912,bq,1.61,16.575,14.581,0.035,5.344,0.171,g
2459524.53861,2021-11-06.0422684,bq,2.10,15.904,14.558,0.063,5.455,0.316,g
2459524.53988,2021-11-06.0435263,bq,2.06,15.946,14.592,0.063,5.292,0.304,g
2459524.54113,2021-11-06.0447752,bq,2.06,16.223,14.542,0.047,5.535,0.236,g
2459604.16446,2022-01-24.6686545,bA,2.14,16.107,14.462,0.048,5.960,0.263,g
2459604.16571,2022-01-24.6699056,bA,2.13,15.980,14.680,0.066,4.878,0.295,g
2459604.16697,2022-01-24.6711653,bA,2.10,15.850,14.488,0.063,5.822,0.333,g
2459605.16496,2022-01-25.6691166,bA,2.05,16.080,14.587,0.055,5.309,0.269,g
2459605.16623,2022-01-25.6703748,bA,2.10,15.992,14.657,0.064,4.982,0.292,g
2459605.16748,2022-01-25.6716304,bA,2.03,15.940,14.495,0.058,5.781,0.306,g
2459607.02409,2022-01-27.5281425,bq,1.71,99.990,99.990,99.990,99.990,99.990,g
2459607.02532,2022-01-27.5293775,bq,1.58,99.990,99.990,99.990,99.990,99.990,g
2459607.02656,2022-01-27.5306090,bq,1.54,13.706,>13.706,99.990,2.344,2.393,g
2459615.16216,2022-02-04.6657087,bA,2.03,16.706,14.539,0.030,5.549,0.152,g
2459615.16342,2022-02-04.6669737,bA,2.04,16.558,14.663,0.038,4.949,0.173,g
2459615.16469,2022-02-04.6682399,bA,2.03,16.307,14.648,0.048,5.018,0.218,g
2459618.12506,2022-02-07.6284115,bA,2.08,16.840,14.579,0.027,5.348,0.134,g
2459618.12632,2022-02-07.6296724,bA,2.07,16.824,14.553,0.027,5.479,0.136,g
2459618.12757,2022-02-07.6309232,bA,2.07,16.833,14.570,0.027,5.395,0.135,g
2459620.13740,2022-02-09.6406107,bA,2.28,16.851,14.572,0.027,5.385,0.133,g
2459620.13867,2022-02-09.6418832,bA,2.28,16.769,14.520,0.028,5.645,0.143,g
2459620.13993,2022-02-09.6431473,bA,2.28,16.848,14.574,0.027,5.373,0.133,g
2459622.15482,2022-02-11.6578848,bA,2.14,16.822,14.487,0.025,5.822,0.137,g
2459622.15609,2022-02-11.6591511,bA,2.14,16.770,14.520,0.028,5.654,0.143,g
2459622.15734,2022-02-11.6604024,bA,2.14,17.004,14.520,0.022,5.648,0.116,g
2459624.11297,2022-02-13.6158879,bA,2.10,16.332,14.558,0.043,5.459,0.214,g
2459625.11657,2022-02-14.6194114,bA,2.03,16.079,14.428,0.048,6.145,0.269,g
2459625.11782,2022-02-14.6206604,bA,2.03,16.213,14.548,0.047,5.503,0.238,g
2459625.11909,2022-02-14.6219292,bA,2.05,16.099,14.518,0.051,5.660,0.264,g
2459629.12201,2022-02-18.6245364,bA,2.11,16.057,14.494,0.052,5.784,0.275,g
2459629.12326,2022-02-18.6257949,bA,2.12,16.030,14.596,0.059,5.266,0.282,g
2459629.12453,2022-02-18.6270597,bA,2.13,16.018,14.486,0.053,5.833,0.285,g
2459629.13326,2022-02-18.6357909,bA,2.10,16.052,14.553,0.055,5.481,0.276,g
2459629.13453,2022-02-18.6370562,bA,2.07,16.104,14.707,0.061,4.755,0.263,g
2459629.13580,2022-02-18.6383262,bA,2.09,16.149,14.601,0.053,5.239,0.253,g
2459632.10319,2022-02-21.6054787,bA,2.11,16.256,14.517,0.044,5.663,0.229,g
2459632.10444,2022-02-21.6067325,bA,2.14,16.287,14.520,0.043,5.651,0.223,g
2459632.10571,2022-02-21.6080027,bA,2.11,16.339,14.573,0.043,5.381,0.212,g
2459634.09932,2022-02-23.6014498,bA,2.25,16.365,14.632,0.044,5.097,0.207,g
2459634.10059,2022-02-23.6027189,bA,2.20,16.382,14.546,0.040,5.516,0.204,g
2459634.10185,2022-02-23.6039818,bA,2.19,16.446,14.590,0.040,5.297,0.193,g
